year,city,country,avg_temp
1743,Istanbul,Turkey,10.37
1744,Istanbul,Turkey,15.04
1745,Istanbul,Turkey,6.20
1746,Istanbul,Turkey,
1747,Istanbul,Turkey,
1748,Istanbul,Turkey,
1749,Istanbul,Turkey,
1750,Istanbul,Turkey,13.83
1751,Istanbul,Turkey,14.14
1752,Istanbul,Turkey,9.48
1753,Istanbul,Turkey,13.42
1754,Istanbul,Turkey,13.58
1755,Istanbul,Turkey,13.36
1756,Istanbul,Turkey,14.10
1757,Istanbul,Turkey,13.90
1758,Istanbul,Turkey,12.10
1759,Istanbul,Turkey,13.13
1760,Istanbul,Turkey,12.57
1761,Istanbul,Turkey,13.76
1762,Istanbul,Turkey,13.66
1763,Istanbul,Turkey,12.72
1764,Istanbul,Turkey,13.79
1765,Istanbul,Turkey,13.72
1766,Istanbul,Turkey,13.60
1767,Istanbul,Turkey,13.32
1768,Istanbul,Turkey,12.09
1769,Istanbul,Turkey,13.29
1770,Istanbul,Turkey,13.28
1771,Istanbul,Turkey,13.20
1772,Istanbul,Turkey,14.22
1773,Istanbul,Turkey,13.74
1774,Istanbul,Turkey,14.07
1775,Istanbul,Turkey,14.35
1776,Istanbul,Turkey,13.19
1777,Istanbul,Turkey,13.18
1778,Istanbul,Turkey,13.96
1779,Istanbul,Turkey,14.04
1780,Istanbul,Turkey,13.95
1781,Istanbul,Turkey,13.70
1782,Istanbul,Turkey,13.10
1783,Istanbul,Turkey,13.31
1784,Istanbul,Turkey,13.40
1785,Istanbul,Turkey,12.57
1786,Istanbul,Turkey,13.13
1787,Istanbul,Turkey,13.61
1788,Istanbul,Turkey,13.56
1789,Istanbul,Turkey,13.74
1790,Istanbul,Turkey,13.56
1791,Istanbul,Turkey,14.09
1792,Istanbul,Turkey,13.39
1793,Istanbul,Turkey,13.27
1794,Istanbul,Turkey,13.87
1795,Istanbul,Turkey,13.66
1796,Istanbul,Turkey,13.60
1797,Istanbul,Turkey,14.25
1798,Istanbul,Turkey,13.93
1799,Istanbul,Turkey,13.29
1800,Istanbul,Turkey,13.73
1801,Istanbul,Turkey,14.37
1802,Istanbul,Turkey,14.48
1803,Istanbul,Turkey,13.36
1804,Istanbul,Turkey,13.69
1805,Istanbul,Turkey,13.12
1806,Istanbul,Turkey,13.88
1807,Istanbul,Turkey,13.99
1808,Istanbul,Turkey,12.75
1809,Istanbul,Turkey,12.40
1810,Istanbul,Turkey,12.72
1811,Istanbul,Turkey,12.95
1812,Istanbul,Turkey,12.30
1813,Istanbul,Turkey,12.62
1814,Istanbul,Turkey,12.81
1815,Istanbul,Turkey,12.54
1816,Istanbul,Turkey,12.32
1817,Istanbul,Turkey,12.74
1818,Istanbul,Turkey,13.26
